"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"April 22, 2018",California,Victorville,"13000 block of High Crest St",1,0,N/A
"April 22, 2018",Alabama,Montgomery,"3200 block of Mobile Highway",1,0,N/A
"April 22, 2018","West Virginia",Morgantown,"Stewartstown Rd",1,0,N/A
"April 22, 2018","North Carolina",Henderson,"Brunswick Ln",1,0,N/A
"April 22, 2018","New York",Brooklyn,"Hendrix St and Sutter Ave",1,0,N/A
"April 22, 2018",Tennessee,Antioch,"3571 Murfreesboro Pike",4,3,N/A
"April 22, 2018",Arkansas,Trumann,"512 Industrial Park Dr",1,0,N/A
"April 22, 2018",Texas,"San Antonio","535 W Hutchins Place",1,0,N/A
"April 22, 2018",Missouri,"Saint Louis","5200 block of Gilmore Ave",1,0,N/A
"April 22, 2018",Louisiana,Duson,I-10,1,0,N/A
"April 22, 2018",Oklahoma,Bessie,"404 7th St",2,0,N/A
"April 22, 2018",Ohio,Bellevue,"Fairfield Ave",1,0,N/A
"April 22, 2018",Illinois,Chicago,"3300 block of W Hollywood Ave",1,0,N/A
"April 22, 2018",Louisiana,"New Orleans","1900 block of St Roch Ave",1,5,N/A
"April 22, 2018",Ohio,Cincinnati,"1500 block of Crest Hill Avenue",1,0,N/A
"April 22, 2018",Kentucky,Louisville,"3425 Bardstown Rd",2,0,N/A
"April 22, 2018",Florida,Orlando,"2200 Americana Blvd",1,0,N/A
"April 22, 2018",Florida,Gainesville,"2824 NE 12th St",1,0,N/A
"April 22, 2018",Maryland,Baltimore,"1200 block of Whitelock St",1,0,N/A
"April 22, 2018",Colorado,"Colorado Springs","5150 Airport Rd",1,1,N/A
"April 22, 2018",California,Bakersfield,"1300 block of Santiago Ct",1,1,N/A
"April 22, 2018","New York",Moriah,"2787 Center Rd",1,0,N/A
"April 22, 2018","New Jersey",Edison,"Loeb Ct",2,0,N/A
"April 22, 2018","New York",Bronx,"700 Morris Ave",1,0,N/A
"April 22, 2018",Michigan,Muskegon,"300 block of Merrill Ave",2,1,N/A
"April 22, 2018",Illinois,"Calumet City","1300 block of Mackinaw Ave",1,0,N/A
"April 22, 2018",Maine,Litchfield,"Hallowell Rd",1,0,N/A
"April 22, 2018",Alabama,Anniston,"500 Glen Addie Ave",1,0,N/A
"April 22, 2018",Washington,"Seattle (Ballard)","4900 block of Leary Ave",1,0,N/A
"April 22, 2018",Missouri,"Saint Louis (Berkeley)","8360 Airport Rd",1,1,N/A
"April 21, 2018",Colorado,Loveland,"Eagle Dr and SW 10th St",1,0,N/A
"April 21, 2018",Oklahoma,Lawton,"500 block of NW 3rd St",1,1,N/A
"April 21, 2018",Oklahoma,"Oklahoma City (Del City)","SE 27th St and Glenn Ave",1,0,N/A
"April 21, 2018",Colorado,"Colorado Springs","Lower Gold Camp Rd and S 21st St",2,0,N/A
"April 21, 2018","New Mexico",Albuquerque,N/A,1,0,N/A
"April 21, 2018","New York",Rochester,"Sidney St",1,0,N/A
"April 21, 2018",Arizona,Phoenix,"8249 W Indian School Rd",1,0,N/A
"April 21, 2018",Georgia,"Flowery Branch","130 TreePark Cir",1,0,N/A
"April 21, 2018",Ohio,Columbus,"1100 block of Aberdeen Ave",2,0,N/A
"April 21, 2018",Illinois,Chicago,"W Jackson Blvd and S Lotus Ave",1,1,N/A
"April 21, 2018",California,"Los Angeles","6200 block of S Figueroa",1,1,N/A
"April 21, 2018",Iowa,Boone,"620 2ndSt",1,0,N/A
"April 21, 2018","North Carolina",Asheville,"Wilbar Ave",1,1,N/A
"April 21, 2018",Pennsylvania,Meyersdale,"252 Cabin Rd",1,0,N/A
"April 21, 2018",California,Compton,"12400 block of Grandee Ave",1,1,N/A
"April 21, 2018",Texas,Houston,"3985 W Fuqua St",2,0,N/A
"April 21, 2018",Mississippi,Brookhaven,"1203 Smith Lake Road",1,0,N/A
"April 21, 2018",Tennessee,Memphis,"500 block of King Rd",1,0,N/A
"April 21, 2018",Tennessee,Memphis,"Summer Ave and Berclair Rd",1,2,N/A
"April 21, 2018",Illinois,Chicago,"6600 block of S Evans Ave",1,2,N/A
"April 21, 2018",Utah,Provo,"1400 500 N",1,1,N/A
"April 21, 2018","North Carolina",Salisbury,"1812 E Innes St",1,0,N/A
"April 21, 2018",Florida,Deltona,"Corrigan Dr",1,0,N/A
"April 21, 2018","North Carolina",Thomasville,"260 Twin Lakes Dr",1,1,N/A
"April 21, 2018",Pennsylvania,Philadelphia,"1800 block of W Diamond St",2,2,N/A
"April 21, 2018",Ohio,Dayton,"1832 Lakeview Avenue",2,0,N/A
"April 21, 2018",Wisconsin,Milwaukee,"2900 block of N 18th St",1,0,N/A
"April 21, 2018",Florida,"Bonita Springs","Matheson Ave and Goodwin St",1,0,N/A
"April 21, 2018",Illinois,Chicago,"9400 block of S Wabash Ave",1,1,N/A
"April 21, 2018",Maryland,Baltimore,"6100 block of Fortview Way",1,0,N/A
"April 21, 2018",Texas,"San Antonio","400 block of Arthur St",1,0,N/A
"April 21, 2018","New York",Syracuse,"313 Hoefler St",1,0,N/A
"April 21, 2018",Texas,"San Antonio","1000 block of Poteet Jourdanton Fwy",1,1,N/A
"April 21, 2018",Maryland,Elkton,"17 Chesnut Dr",1,2,N/A
"April 21, 2018",Texas,Dimmitt,"CR 510",1,0,N/A
"April 21, 2018",Georgia,Atlanta,"633 Parkway Drive",1,1,N/A
"April 21, 2018",Massachusetts,Springfield,"56 Maple Ct",1,0,N/A
"April 21, 2018","New Mexico",Portales,"929 E Second St",1,0,N/A
"April 21, 2018",Texas,"Fort Worth","4301 Old Decatur Rd",1,0,N/A
"April 21, 2018",Ohio,Columbus,"1 block of Wisconsin Ave",1,0,N/A
"April 20, 2018",Illinois,Mackinaw,"34000 block of IL-9",1,0,N/A
"April 20, 2018",Texas,Mckinney,"7500 block of Fossil Creek Tr",1,0,N/A
"April 20, 2018",Washington,"Port Orchard","12000 block of Triviere Trail",1,0,N/A
"April 20, 2018",Georgia,Columbus,"1312 Gazebo Way",1,0,N/A
"April 20, 2018","New Mexico",Albuquerque,"900 block of Gemstone Rd SW",1,1,N/A
"April 20, 2018",Kentucky,Hinkle,"Hinkle Branch Road",1,0,N/A
"April 20, 2018",California,"San Francisco","3rd Street and Quesada Ave",1,5,N/A
"April 20, 2018",Pennsylvania,Chester,"1100 block of Clover Ln",1,0,N/A
"April 20, 2018",California,Watsonville,"CA-129 and Industrial Rd",1,0,N/A
"April 20, 2018",Florida,Sanford,"2407 Decottes Ave",1,0,N/A
"April 20, 2018",Virginia,Norfolk,"7900 block of Thompson Rd",1,0,N/A
"April 20, 2018",Ohio,Wickliffe,"28611 Euclid Avenue",1,0,N/A
"April 20, 2018",Ohio,Canton,"1200 block of 20th St NE",1,0,N/A
"April 20, 2018",California,Foresthill,"Foresthill Rd",1,0,N/A
"April 20, 2018",Wisconsin,Manitowoc,"903 S 11th St",1,0,N/A
"April 20, 2018",Indiana,Bedford,"811 Constitution Ave",1,0,N/A
"April 20, 2018",Florida,"Vero Beach","4400 block of 25th Ave",1,0,N/A
"April 20, 2018","North Carolina",Charlotte,"1500 block of Wembley Dr",1,0,N/A
"April 20, 2018",Arizona,Peoria,"9804 W Northern Ave",1,0,N/A
"April 20, 2018","South Carolina",Greenville,"Easterlin Way",1,0,N/A
"April 20, 2018","North Carolina",Greensboro,"3300 block of Beck St",1,0,N/A
"April 20, 2018",Texas,Dallas,"Martin Luther King Jr Blvd and S Harwood St",1,0,N/A
"April 20, 2018",Florida,Largo,"16321 Bolesta Rd",1,0,N/A
"April 20, 2018",Texas,Huffman,"400 block of Fir Ridge Dr",1,0,N/A
"April 20, 2018",Maryland,Baltimore,"1500 block of Madison Ave",1,0,N/A
"April 20, 2018",Virginia,Richmond,"300 block of Melmark Court",1,0,N/A
"April 20, 2018",Florida,Orlando,"1013 W Michigan St",1,0,N/A
"April 20, 2018",Texas,Dallas,"600 block of Edgedale Dr",1,0,N/A
"April 20, 2018",Minnesota,Sawyer,"4020 Kari Rd",1,2,N/A
"April 20, 2018","New York",Malone,"344 Old Meacham Rd",1,0,N/A
"April 20, 2018","New York",Bronx,"500 Abbott St",1,0,N/A
"April 20, 2018",Alaska,Fairbanks,"419 4th Ave",1,0,N/A
"April 20, 2018",Nevada,"Las Vegas","3790 Hazelwood St",1,0,N/A
"April 20, 2018",Missouri,"Lees Summit","601 NW Murray Rd",2,0,N/A
"April 20, 2018",Texas,"San Antonio","748 Hot Wells Blvd",1,0,N/A
"April 19, 2018",Texas,Austin,"1100 block of Poquito St",1,1,N/A
"April 19, 2018",Colorado,Denver,"E 37th Ave and Elizabeth St",1,0,N/A
"April 19, 2018","New Mexico",Albuquerque,"1000 block of 4th St SW",1,1,N/A
"April 19, 2018",Michigan,"Madison Heights","29328 Tawas St",1,0,N/A
"April 19, 2018",Michigan,Inkster,"3754 Fox St",2,0,N/A
"April 19, 2018",Ohio,Xenia,"4550 US-68",1,0,N/A
"April 19, 2018",California,Richmond,"800 Carlson Blvd",1,1,N/A
"April 19, 2018",Maryland,Waldorf,"11500 block of Shearwater Dr",1,0,N/A
"April 19, 2018",Tennessee,Kingsport,"524 Stapleton Dr",1,0,N/A
"April 19, 2018",Virginia,Richmond,"435 German School Rd",1,0,N/A
"April 19, 2018",Virginia,"Virginia Beach","600 block of Newtown Rd",1,0,N/A
